Rank,Product Name,Average Rating,Review Count,Price
1,"Gildan Men's Crew T-Shirts, Multipack, Style G1100",4.6,270102,15.97
2,"Gildan Adult Ultra Cotton T-shirt, Style G2000, Multipack",4.5,119001,11.45
3,"Gildan Ultra Cotton Long Sleeve T-Shirt, Style G2400, Multipack",4.5,135500,11.82
4,"Hanes Essentials Men's T-Shirt Pack, Men's Short Sleeve Tees, Crewneck Cotton T-Shirts for Men, Value Pack",4.4,115651,14.99
5,"Russell Athletic Men's Dri-Power Cotton Blend Tees & Tanks, Moisture Wicking, Odor Protection, UPF 30+, Sizes S-4X",4.4,64600,8.97
6,"Gildan Men's Heavy Cotton T-Shirt, Style G5000, Multipack",4.5,82430,36.96
7,"Gildan Men's Softstyle Cotton T-Shirt, Style G64000, Multipack",4.5,13907,10.94
8,"Comfort Colors Men's Short Sleeve Tee, Style 1717",4.6,19315,9.65
9,"Gildan Men's V-Neck T-Shirts, Multipack, Style G1103",4.5,125337,25.96
10,"Hanes Men's T-Shirts, X-Temp Men's Performance T-Shirt Pack, Moisture-Wicking T-Shirts, Cotton Blend Tees, 2-Pack",4.4,72556,7.76
11,INTO THE AM Mens T Shirt - Short Sleeve Crew Neck Soft Fitted Tees S - 4XL Fresh Classic Tshirts,4.3,7043,23.95
12,Dickies Men's Heavyweight Crew Neck Short Sleeve Tee,4.5,37071,16.99
13,"Jerzees Men's Dri-Power Cotton Blend Long Sleeve Tees, Moisture Wicking, Odor Protection, UPF 30+, Sizes S-3x",4.5,54268,9.99
14,Carhartt Men's Force Relaxed Fit Midweight Short-Sleeve Pocket T-Shirt,4.7,4469,0.0
15,"Amazon Essentials Men's Slim-Fit Short-Sleeve Crewneck T-Shirt, Pack of 2",4.3,20153,11.18
16,INTO THE AM Mens T Shirt - Short Sleeve Crew Neck Soft Fitted Tees S - 4XL Fresh Classic Tshirt,4.5,23654,23.95
17,"Fruit of the Loom Men's Eversoft Cotton T Shirts, Breathable & Moisture Wicking with Odor Control, Sizes S-4x",4.6,4095,12.85
18,Fruit of the Loom Men's Premium Crew Tees,4.4,4212,6.72
19,"Gildan DryBlend T-Shirt, Style G8000, Multipack",4.5,12277,11.93
20,"Gildan Adult Heavy Cotton Long Sleeve T-Shirt, Style G5400, 2-Pack",4.5,14774,15.99
21,Carhartt Men's Loose Fit Heavyweight Long Logo Sleeve Graphic T-Shirt,4.7,30856,0.0
22,"True Classic Tees Premium Men's T-Shirts - Classic Crew T-Shirt, Premium Fitted Men's Shirt",4.0,3719,24.99
23,"Hanes Men's Originals T-Shirt, 100% Cotton Tees for Men, Short-Sleeve T-Shirt, Available in Tall",4.2,292,7.68
24,Pro Club Men's Heavyweight Cotton Short Sleeve Crew Neck T-Shirt,4.5,8052,11.18
25,"Amazon Essentials Men's Regular-Fit Short-Sleeve Crewneck T-Shirt, Pack of 2",4.3,24899,11.92
26,Gildan Large Men's DryBlend Classic T-Shirt,4.5,4353,8.34
27,Next Level Apparel Men's N6210,4.6,4172,9.19
28,Gildan Blank T-Shirt - Unisex Style 5000 Adult,4.5,2075,7.57
29,"Gildan Adult DryBlend Workwear T-Shirts with Pocket, 2-Pack",4.6,28030,12.8
30,"Gildan Adult DryBlend Long Sleeve T-Shirt, Style G8400, 2-Pack",4.6,14777,14.99
31,"Comfort Colors Adult Long Sleeve Tee, Style 6014",4.5,16169,13.31
32,Pro Club Men's 3-Pack Heavyweight Cotton Short Sleeve Crew Neck T-Shirt,4.6,13011,26.81
33,KLIEGOU Mens 100% Cotton Hipster Hip Hop Longline Crewneck T-Shirt S-4XL,4.1,5173,24.99
34,NEXT LEVEL APPAREL Men's 3600,4.6,2700,9.03
35,"Hanes Men's Heavyweight Pocket T-Shirt, Beefy-T Full-Cut Cotton Pocket Tee for Men, Crewneck T-Shirt For Men, 1 or 2 Pack",4.5,16031,13.0
36,Disney Men's Full Size Mickey Mouse Distressed Look T-Shirt,4.6,5131,12.27
37,Hanes Men's Tagless&Reg; Comfortsoft&Reg; Crewneck T-Shirt,4.3,987,7.14
38,"Hanes Sport Men's T-Shirt Pack, Cool DRI Moisture-Wicking Performance T-Shirt, Performance Tee, 2-Pack",4.4,17690,18.98
39,Beyoncé Official Renaissance World Tour Merch Disco Cowboy Hat T-Shirt,4.8,1464,40.0
40,Heavy Cotton 100% Cotton Tshirt (G500),4.4,2063,7.21
41,Amazon Essentials Men's Regular-Fit Long-Sleeve T-Shirt,4.2,6850,16.2
42,Nautica Men's Solid Crew Neck Short-Sleeve Pocket T-Shirt,4.6,12158,20.29
43,True Classic Tees Premium Fitted Men's T-Shirts - Crew Neck,4.2,2443,109.99
44,"Comfort Colors Adult Short Sleeve Pocket Tee, Style 6030",4.6,5767,10.65
45,"Hanes Men's Essentials Long Sleeve T-Shirt Pack, Crewneck Cotton Tees, 4-Pack",4.5,24141,16.0
46,"Gildan Men's Ultra Cotton Long Sleeve T-Shirt, Style G2400",4.5,16616,10.35
47,Hanes Men’s Short Sleeve Graphic T-shirt Collection,4.6,65231,10.01
48,JMIERR Mens 3 Pack Cotton Hipster Hip Hop Longline Crewneck T-Shirt,4.5,423,35.99
49,Kingsted T-Shirts for Men Pack - Royally Comfortable - Soft & Fresh Premium Fabric - Well-Crafted Classic Tee,4.4,8074,43.96
